# Market-cap classification derived from NSE Indices constituent lists (2026-08-28).
# Source (SEBI/AMFI methodology equivalent):
#   Nifty 100          -> LARGE_CAP (top 100 by full market cap)
#   Nifty Midcap 150   -> MID_CAP   (ranks 101-250)
#   Nifty Smallcap 250 -> SMALL_CAP (ranks 251-500)
# Refresh: rerun tools/build-marketcap.py against the latest
# niftyindices.com/IndexConstituent/ind_nifty*list.csv files, then
# POST /admin/reload-classifications (hot-reload, no restart).
SYMBOL,CATEGORY
360ONE,MID_CAP
3MINDIA,MID_CAP
AADHARHFC,SMALL_CAP
AARTIIND,SMALL_CAP
AAVAS,SMALL_CAP
ABB,LARGE_CAP
ABBOTINDIA,MID_CAP
ABCAPITAL,MID_CAP
ABDL,SMALL_CAP
ABFRL,SMALL_CAP
ABLBL,SMALL_CAP
ABREL,SMALL_CAP
ABSLAMC,SMALL_CAP
ACC,MID_CAP
ACE,SMALL_CAP
ACMESOLAR,SMALL_CAP
ACUTAAS,SMALL_CAP
ADANIENSOL,LARGE_CAP
ADANIENT,LARGE_CAP
ADANIGREEN,LARGE_CAP
ADANIPORTS,LARGE_CAP
ADANIPOWER,LARGE_CAP
AEGISLOG,SMALL_CAP
AEGISVOPAK,SMALL_CAP
AFCONS,SMALL_CAP
AFFLE,SMALL_CAP
AIAENG,MID_CAP
AIIL,MID_CAP
AJANTPHARM,MID_CAP
ALKEM,MID_CAP
AMBER,SMALL_CAP
AMBUJACEM,LARGE_CAP
ANANDRATHI,SMALL_CAP
ANANTRAJ,SMALL_CAP
ANGELONE,SMALL_CAP
ANTHEM,MID_CAP
ANURAS,SMALL_CAP
APARINDS,MID_CAP
APLAPOLLO,MID_CAP
APOLLOHOSP,LARGE_CAP
APOLLOTYRE,MID_CAP
APTUS,SMALL_CAP
ARE&M,SMALL_CAP
ASAHIINDIA,SMALL_CAP
ASHOKLEY,MID_CAP
ASIANPAINT,LARGE_CAP
ASTERDM,SMALL_CAP
ASTRAL,MID_CAP
ATGL,MID_CAP
ATHERENERG,SMALL_CAP
ATUL,SMALL_CAP
AUBANK,MID_CAP
AUROPHARMA,MID_CAP
AWL,MID_CAP
AXISBANK,LARGE_CAP
BAJAJ-AUTO,LARGE_CAP
BAJAJFINSV,LARGE_CAP
BAJAJHFL,MID_CAP
BAJAJHLDNG,LARGE_CAP
BAJFINANCE,LARGE_CAP
BALKRISIND,MID_CAP
BALRAMCHIN,SMALL_CAP
BANDHANBNK,SMALL_CAP
BANKBARODA,LARGE_CAP
BANKINDIA,MID_CAP
BATAINDIA,SMALL_CAP
BAYERCROP,SMALL_CAP
BBTC,SMALL_CAP
BDL,MID_CAP
BEL,LARGE_CAP
BELRISE,SMALL_CAP
BEML,SMALL_CAP
BERGEPAINT,MID_CAP
BHARATFORG,MID_CAP
BHARTIARTL,LARGE_CAP
BHARTIHEXA,MID_CAP
BHEL,MID_CAP
BIKAJI,SMALL_CAP
BIOCON,MID_CAP
BLS,SMALL_CAP
BLUEDART,SMALL_CAP
BLUEJET,SMALL_CAP
BLUESTARCO,MID_CAP
BOSCHLTD,LARGE_CAP
BPCL,LARGE_CAP
BRIGADE,SMALL_CAP
BRITANNIA,LARGE_CAP
BSE,MID_CAP
BSOFT,SMALL_CAP
CAMS,SMALL_CAP
CANBK,LARGE_CAP
CANFINHOME,SMALL_CAP
CANHLIFE,SMALL_CAP
CAPLIPOINT,SMALL_CAP
CARBORUNIV,SMALL_CAP
CARTRADE,SMALL_CAP
CASTROLIND,SMALL_CAP
CCL,SMALL_CAP
CDSL,SMALL_CAP
CEATLTD,SMALL_CAP
CEMPRO,SMALL_CAP
CENTRALBK,SMALL_CAP
CESC,SMALL_CAP
CGCL,SMALL_CAP
CGPOWER,LARGE_CAP
CHALET,SMALL_CAP
CHAMBLFERT,SMALL_CAP
CHENNPETRO,SMALL_CAP
CHOICEIN,SMALL_CAP
CHOLAFIN,LARGE_CAP
CHOLAHLDNG,SMALL_CAP
CIEINDIA,SMALL_CAP
CIPLA,LARGE_CAP
CLEAN,SMALL_CAP
COALINDIA,LARGE_CAP
COCHINSHIP,MID_CAP
COFORGE,MID_CAP
COHANCE,SMALL_CAP
COLPAL,MID_CAP
CONCOR,MID_CAP
CONCORDBIO,SMALL_CAP
COROMANDEL,MID_CAP
CPPLUS,SMALL_CAP
CRAFTSMAN,SMALL_CAP
CREDITACC,SMALL_CAP
CRISIL,MID_CAP
CROMPTON,SMALL_CAP
CUB,SMALL_CAP
CUMMINSIND,LARGE_CAP
CYIENT,SMALL_CAP
DABUR,MID_CAP
DALBHARAT,MID_CAP
DATAPATTNS,SMALL_CAP
DCMSHRIRAM,SMALL_CAP
DEEPAKFERT,SMALL_CAP
DEEPAKNTR,SMALL_CAP
DELHIVERY,SMALL_CAP
DEVYANI,SMALL_CAP
DIVISLAB,LARGE_CAP
DIXON,MID_CAP
DLF,LARGE_CAP
DMART,LARGE_CAP
DOMS,SMALL_CAP
DRREDDY,LARGE_CAP
ECLERX,SMALL_CAP
EICHERMOT,LARGE_CAP
EIDPARRY,SMALL_CAP
EIHOTEL,SMALL_CAP
ELECON,SMALL_CAP
ELGIEQUIP,SMALL_CAP
EMAMILTD,SMALL_CAP
EMCURE,SMALL_CAP
EMMVEE,SMALL_CAP
ENDURANCE,MID_CAP
ENGINERSIN,SMALL_CAP
ENRIN,LARGE_CAP
ERIS,SMALL_CAP
ESCORTS,MID_CAP
ETERNAL,LARGE_CAP
EXIDEIND,MID_CAP
FACT,SMALL_CAP
FEDERALBNK,MID_CAP
FINCABLES,SMALL_CAP
FIRSTCRY,SMALL_CAP
FIVESTAR,SMALL_CAP
FLUOROCHEM,MID_CAP
FORCEMOT,SMALL_CAP
FORTIS,MID_CAP
FSL,SMALL_CAP
GABRIEL,SMALL_CAP
GAIL,LARGE_CAP
